tweet_id,text,0c3jbu49tho46b5udmr99m8mp3,0lg96esg0sei07fo35n9o1dfv0,0mh1d1e0j45qt98gj2emndr9u3,0re71cb38k4vbm0ab8ptfch9e1,15luksqg9o7phlgfv5qgv3ctt6,171f256lbtk96v7dibnt656bg5,17464arrr3vutv3outklraeli0,1edr5icem4mtn3dgfqv1o99he2,1krhk1u8d76j6k6kj5k7tuu4m2,20npgghv7npkgvg0dq4f5tikg5,28ce50uudb2ogqd6jdebcilin6,2a0rau9l1klkiu9uqufdhph5n6,31ghn8k3bmc9re4niejkdcqta3,3ea5iveejsp347oe5o9jvs52v3,3vi5o9d4k2qno8cebfp5lv9k96,4juao1udl9h6jvjuq2h181gue1,4s2ilknhpk6s7jml5vdh50t4o5,5al2lbn8d3l63v9gi3chpraq92,7i3lf3ns9t44b01djorgrha9u2,7jp6g72ajb4h4nl9cfet94ekf0,7kibm9nf8241it6db59sndrl11,7l1tpe1t9ginvovkttkr56i3m1,7r7or8ag9d390oonnrfs9bgni4,7r8f0v50o32tdt9tbnru16nb72,8jljr0nv5kr6j2lt2r198376e4,91enutde8jidf4mmbou1ar4ia1,9ig128toet7qdmel22c09evdn2,9kbojo42f5c9175bg0f0o37pf0,9ktgilncegoi9j71a7vuqj16t2,9lqoeeil4jhfho2ef1a6606c74,aflsuipv9rnc5qnfjkd78ha5a4,ahdliooedvebg34bqhh3ipevr0,ajrf4um6b2hcetpg7s34asbql2,aq0dm53kc09qc1bbq6ihn6p4a4,bfp6vvm7h6gsfjvklmgbh1vj21,c4pfqcj0qmo4f9kq64jito5bd4,c7pke7t2c6naj1a196mvkmura7,ckf4ohcksqafer81ho40n026k2,cl9m1s4j7afe83cnv7ei9g8r66,crkp7kev1u02fsc8q45fktf8t7,ctjs1k9622t33rjbqali0dosf5,dcia1jb1dhcvn7jhr62m34kur7,de6ju08ipm07d7s9j3l1pv04g6,dfsr180crmp9c3ptb7bn39ph84,dgnhovafp9scl1cltcb8i27do0,do96slniuhnrl6fuqenpgkd0o2,dv3m54tivcdufvo5ggb8p7uji6,dvpf4o1bd271911squ3lebsnq2,epv11f5u0ur2tol3vlgvvva594,facjrdu33cod327n16lj6jdrh4,fic8u9o83q8vq2jt2t4ed9vra4,fm7id2qd2mu7dd5lu6h1ses4b2,fnt2ik4f000umdh30d6hk14kk6,hdq68fpm0hs7r1p1m9vs6d58p2,hqvtebj405n08f87nfhliocia0,hvun1822hrg8afj30dlo3jqpk7,i121cplbg3h5ck99jumnppeql1,i2nhjkbhkbkir86llscpbg2no4,itek2m2qp6on70reispm56agm3,itjh7hgstlrtplfrr2mr315c43,iunn83b57apecmea025736qvv7,jg0l10m57b4iov3lvcj6b77ri1,jpceoqs51mea46rmo40f8pm7v7,l9ga959n2hjsvo7vl90s9hasi1,lclhi1ehob7d95i40204tkk4b5,let3vuej3vpvmvdvd4d0iq5lp5,lueqkmtdo9h3ou8g9docnfsl24,mb9qi4l2e7evpo2rh7elio8hs0,md9io7a7rlse6jhubroplolbo4,mfc2m3boadk0j0of18mvpma732,miuc4selseup6ahk47rns7dd84,mlk55rpa73eqd7sak175h9vvf5,n3hkes9ul1s43f491cub1rk2t1,og0hmgkkuu8ua7ccjkl43i70f0,oo116onobcu01rc45mol43c146,pclusbm0ftq1sm0pfv8h6u0oo3,pe95ssai9tavae8oncd3fr2h94,pi6qmcjngfl3k53fmpvhobulg3,pkhat7rck2vm63lqmt1gs35ib5,pt0iorpsj22p60p6dg6ucpvft6,q3nhpfehlugn37vvgg320h99t7,qdd0unnmvcsi1n88a8omkerii7,qpp5nstf40o231sn2anvgj9842,r8m6enukedq9bf8jg4jtfp5h96,rrtab4d07cgaaj61vt1n3q2os6,s3nahocbkq031hkl704h7k50c3,scahjnc7lbh1clmtdishb52474,sp12frbrdc0i4k1pj8ch5v9kg3,spfcc1f1oanbvjil0tk3e2r7v2,t2g54r2ehuch33kvl32ajjdd80,t6oktkgtfbe5alq8rjmgbvrcv5,tesnno6fucv1um89opb8qb3kf3,thv26ne43fbb9hsrqsg75ntdg4,tkfro34k6nq49of2fl4d95vj83,tva30pd6v3857u3v0v2utqacj6,u9f4be86fglsekbqn92947ti56,uffpnou6daove1gvj2retde885,ugu5ran4euorifd91uqms7uuq7,ulcoup263danq62e213es97at3,vf7art6j8ir0kljq98sk6j9kb7
21687865379,¿Cómo se llama la maestra de los pollitos? ¡Miss Huevos! #chistes,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21687932514,¿Qué es una elección? Lo que le pasa a un chinito cuando lee una levista polno... #Chistes,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0
27561052090,"Si tu apellido fuera Melculo, ¿cómo te gustaría que te llamaran? ¿Abraham, Rosa, Aida o Deborah? #chistes",0,0,0,4,0,0,0,5,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2057672085995520,"Las piernas son las mejores amigas de una chica, pero las amigas deben separarse para que la chica se divierta #chistes",0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100110548795392,¿Cuál es la diferencia entre un burro y una TV? En que la TV tiene 19 pulgadas de pantalla y las del burro son de verdad. #chistes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0
2144115005333504,"Papá, mamá me quiere vender. No jaimito, quien t dijo eso? Anoche le dijo al vecino: dame más x el chiquito y será tuyo! guille206",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0
2780034909601792,"-Señor, vengo a pedir las nalgas de su hija -Las Nalgas!? Se pide la mano! - No, la mano no, ya de puñetas estoy harto! by @__ozkar__",0,0,0,2,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2825871870140416,"¿Qué le dijo la vagina al pene? ¡Qué haces ahí parado, entra! #ChistesPicantes",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2913744254406656,"La mujer a Dios: -Señor, ¿porqué no hace más bonito al pene? -Hija, si feo lo chupas... bonito te lo comes! by @labolamagica",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3147242613514240,¿Por qué Bob Esponja huele a vagina? Porque vive en el fondo del bikini. by @m_i_x_a #chistes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
